genre,decade
classical,1900-1910
romantic,1900-1910
classical christmas,1900-1910
baroque,1900-1910
modern classical,1900-1910
avant-garde,1900-1910
early music,1900-1910
classical period,1900-1910
renaissance,1900-1910
classical performance,1900-1910
,
classical,1910-1920
romantic,1910-1920
classical christmas,1910-1920
baroque,1910-1920
modern classical,1910-1920
avant-garde,1910-1920
early music,1910-1920
renaissance,1910-1920
classical period,1910-1920
jazz christmas,1910-1920
,
classical,1920-1930
romantic,1920-1930
classical christmas,1920-1930
baroque,1920-1930
modern classical,1920-1930
jazz christmas,1920-1930
avant-garde,1920-1930
swing,1920-1930
big band,1920-1930
christmas,1920-1930
,
classical,1930-1940
romantic,1930-1940
classical christmas,1930-1940
jazz christmas,1930-1940
swing,1930-1940
christmas,1930-1940
big band,1930-1940
lounge,1930-1940
adult standards,1930-1940
vocal jazz,1930-1940
,
classical,1940-1950
romantic,1940-1950
jazz christmas,1940-1950
classical christmas,1940-1950
christmas,1940-1950
lounge,1940-1950
adult standards,1940-1950
jazz,1940-1950
cabaret,1940-1950
vocal jazz,1940-1950
,
jazz christmas,1950-1960
classical,1950-1960
romantic,1950-1960
christmas,1950-1960
vocal jazz,1950-1960
jazz,1950-1960
classical christmas,1950-1960
lounge,1950-1960
jazz blues,1950-1960
adult standards,1950-1960
,
mellow gold,1960-1970
christmas,1960-1970
rock,1960-1970
jazz christmas,1960-1970
soul christmas,1960-1970
folk rock,1960-1970
singer-songwriter,1960-1970
soft rock,1960-1970
classic rock,1960-1970
adult standards,1960-1970
,
rock,1970-1980
mellow gold,1970-1980
album rock,1970-1980
soft rock,1970-1980
folk rock,1970-1980
singer-songwriter,1970-1980
classic rock,1970-1980
roots rock,1970-1980
folk christmas,1970-1980
blues-rock,1970-1980
,
rock,1980-1990
mellow gold,1980-1990
album rock,1980-1990
soft rock,1980-1990
folk rock,1980-1990
singer-songwriter,1980-1990
pop christmas,1980-1990
roots rock,1980-1990
permanent wave,1980-1990
hard rock,1980-1990
,
rock,1990-2000
dance pop,1990-2000
pop christmas,1990-2000
pop,1990-2000
permanent wave,1990-2000
hurban,1990-2000
album rock,1990-2000
latin,1990-2000
latin pop,1990-2000
hard rock,1990-2000
,
pop,2000-2010
dance pop,2000-2010
pop christmas,2000-2010
edm,2000-2010
electro house,2000-2010
pop rap,2000-2010
house,2000-2010
hurban,2000-2010
hip hop,2000-2010
rock,2000-2010
